k,type,score,label
2,Kmeans,0.359262,0
2,Kmeans,0.03772,0
2,Kmeans,0.312897,1
2,Kmeans,0.166055,0
2,Kmeans,0.089013,1
2,Kmeans,0.198881,0
2,Kmeans,0.180926,0
2,Kmeans,0.136291,0
2,Kmeans,0.04906,1
2,Kmeans,0.186409,1
2,Kmeans,0.211205,0
2,Kmeans,0.289143,0
2,Kmeans,0.119789,1
2,Kmeans,0.093995,1
2,Kmeans,0.285121,1
2,Kmeans,-0.015774,0
2,Kmeans,0.293724,1
2,Kmeans,0.333038,0
2,Kmeans,0.027173,0
2,Kmeans,0.30218,0
2,Kmeans,0.336646,1
2,Kmeans,0.35607,0
2,Kmeans,0.016339,1
2,Kmeans,0.282322,1
2,Kmeans,0.334774,1
2,Kmeans,0.282908,1
2,Kmeans,0.247389,1
2,Kmeans,0.314585,0
2,Kmeans,0.271176,1
2,Kmeans,0.036707,1
2,Kmeans,0.047217,0
2,Kmeans,0.218517,0
2,Kmeans,0.246987,1
2,Kmeans,0.358228,0
2,Kmeans,0.08248,0
2,Kmeans,0.283697,1
2,Kmeans,0.247811,0
2,Kmeans,0.330621,1
2,Kmeans,0.293979,0
2,Kmeans,0.048271,0
2,Kmeans,0.122501,0
2,Kmeans,0.323014,0
2,Kmeans,0.119674,0
2,Kmeans,0.166195,1
2,Kmeans,0.205958,1
2,Kmeans,0.065,0
2,Kmeans,0.358876,0
2,Kmeans,0.327609,0
2,Kmeans,0.34419,0
2,Kmeans,0.272956,0
2,Kmeans,0.279025,0
2,Kmeans,0.14067,0
2,Kmeans,0.16249,0
2,Kmeans,0.109059,1
2,Kmeans,0.083484,0
2,Kmeans,0.282051,0
2,Kmeans,0.065037,0
2,Kmeans,0.04922,1
2,Kmeans,0.141309,1
2,Kmeans,0.320334,1
2,Kmeans,0.021317,0
2,Kmeans,0.262254,1
2,Kmeans,0.011698,0
2,Kmeans,0.280321,1
2,Kmeans,0.308748,1
2,Kmeans,0.337157,1
2,Kmeans,0.362715,1
2,Kmeans,0.126152,1
2,Kmeans,0.273989,0
2,Kmeans,0.08112,0
2,Kmeans,0.024962,1
2,Kmeans,0.169301,0
2,Kmeans,0.12435,0
2,Kmeans,0.30169,0
2,Kmeans,0.011437,1
2,Kmeans,0.156737,1
2,Kmeans,0.342198,1
2,Kmeans,0.014844,0
2,Kmeans,0.336722,1
2,Kmeans,0.329586,0
2,Kmeans,0.230618,1
2,Kmeans,0.288608,1
2,Kmeans,0.195071,0
2,Kmeans,0.235943,0
2,Kmeans,0.293862,0
2,Kmeans,0.248849,1
2,Kmeans,0.033819,1
2,Kmeans,0.250187,0
2,Kmeans,0.230221,0
2,Kmeans,0.019925,0
2,Kmeans,0.164168,0
2,Kmeans,0.235848,0
2,Kmeans,0.172679,1
2,Kmeans,0.249767,1
2,Kmeans,0.200566,0
2,Kmeans,0.118265,1
2,Kmeans,0.099485,0
2,Kmeans,0.173583,1
2,Kmeans,0.278724,0
2,Kmeans,0.209229,1
2,Kmeans,0.08757,1
2,Kmeans,0.129651,1
2,Kmeans,0.310859,0
2,Kmeans,0.339513,0
2,Kmeans,0.086193,1
2,Kmeans,0.335218,0
2,Kmeans,0.222324,1
2,Kmeans,0.215819,1
2,Kmeans,0.303103,0
2,Kmeans,0.259637,0
2,Kmeans,0.17917,1
2,Kmeans,0.188729,0
2,Kmeans,0.251282,0
2,Kmeans,0.005242,0
2,Kmeans,0.246335,0
2,Kmeans,0.265587,0
2,Kmeans,0.051275,1
2,Kmeans,0.002487,0
2,Kmeans,0.336992,1
2,Kmeans,0.352501,1
2,Kmeans,0.223157,1
2,Kmeans,0.241546,1
2,Kmeans,0.316225,1
2,Kmeans,0.280661,0
2,Kmeans,0.108191,1
2,Kmeans,0.277142,1
2,Kmeans,0.142007,0
2,Kmeans,0.278343,1
2,Kmeans,0.156675,1
2,Kmeans,0.307487,1
2,Kmeans,0.136795,0
2,Kmeans,0.210261,0
2,Kmeans,0.014027,1
2,Kmeans,0.076275,0
2,Kmeans,0.085143,1
2,Kmeans,0.159994,1
2,Kmeans,0.044478,0
2,Kmeans,0.186,0
2,Kmeans,0.016276,0
2,Kmeans,0.321284,0
2,Kmeans,0.101328,0
2,Kmeans,0.341046,0
2,Kmeans,0.25358,0
2,Kmeans,0.325866,0
2,Kmeans,0.109153,1
2,Kmeans,0.319406,0
2,Kmeans,0.17308,0
2,Kmeans,0.324514,1
2,Kmeans,0.228871,1
2,Kmeans,0.032305,0
2,Kmeans,0.200332,1
2,Kmeans,0.077211,1
2,Kmeans,0.090162,0
2,Kmeans,0.211021,1
2,Kmeans,0.11366,0
2,Kmeans,0.281954,1
2,Kmeans,0.143366,0
2,Kmeans,0.127571,0
2,Kmeans,0.193968,0
2,Kmeans,0.013359,0
2,Kmeans,0.055467,1
2,Kmeans,0.239131,1
2,Kmeans,0.215479,0
2,Kmeans,0.025771,1
2,Kmeans,0.151263,1
2,Kmeans,0.318645,1
2,Kmeans,0.187972,0
2,Kmeans,0.100267,1
2,Kmeans,0.304359,0
2,Kmeans,0.151732,1
2,Kmeans,0.071472,1
2,Kmeans,0.247586,1
2,Kmeans,0.226837,1
2,Kmeans,0.325025,1
2,Kmeans,0.017034,1
2,Kmeans,0.046013,1
2,Kmeans,0.368679,1
2,Kmeans,0.254892,1
2,Kmeans,0.061763,0
2,Kmeans,0.018228,1
2,Kmeans,0.225589,0
2,Kmeans,0.229192,1
2,Kmeans,0.223918,0
2,Kmeans,0.126271,1
2,Kmeans,0.283105,1
2,Kmeans,0.132101,0
2,Kmeans,0.125121,1
2,Kmeans,0.028887,0
2,Kmeans,0.35646,1
2,Kmeans,0.149106,0
2,Kmeans,0.236956,0
2,Kmeans,0.205594,1
2,Kmeans,0.317442,1
2,Kmeans,0.189237,0
2,Kmeans,0.11807,0
2,Kmeans,0.259293,1
2,Kmeans,0.274839,0
2,Kmeans,0.071112,0
2,Kmeans,0.097556,0
2,Kmeans,0.031336,0
2,Kmeans,0.256615,1
2,Kmeans,0.180524,1
2,Kmeans,0.172617,0
2,Kmeans,0.244228,0
2,Kmeans,0.358596,0
2,Kmeans,0.245985,0
2,Kmeans,0.130015,0
2,Kmeans,-0.003403,0
2,Kmeans,0.05628,0
2,Kmeans,0.083321,0
2,Kmeans,-0.000127,0
2,Kmeans,0.115204,0
2,Kmeans,0.030492,0
2,Kmeans,0.340786,1
2,Kmeans,0.345769,0
2,Kmeans,0.299317,0
2,Kmeans,0.005865,0
2,Kmeans,0.235686,1
2,Kmeans,0.378508,0
2,Kmeans,0.119536,1
2,Kmeans,0.214147,1
2,Kmeans,0.187622,1
2,Kmeans,0.023013,0
2,Kmeans,0.175563,1
2,Kmeans,0.139089,1
2,Kmeans,0.26616,0
2,Kmeans,0.193158,0
2,Kmeans,0.015973,0
2,Kmeans,0.142283,0
2,Kmeans,0.320566,0
2,Kmeans,0.081543,1
2,Kmeans,0.323231,1
2,Kmeans,0.35797,1
2,Kmeans,0.114278,1
2,Kmeans,0.159544,1
2,Kmeans,0.20368,1
2,Kmeans,0.23855,1
2,Kmeans,0.141837,0
2,Kmeans,0.266804,1
2,Kmeans,0.286735,1
2,Kmeans,0.305779,0
2,Kmeans,0.313524,1
2,Kmeans,0.064615,1
2,Kmeans,0.189105,1
2,Kmeans,0.301549,0
2,Kmeans,0.180174,1
2,Kmeans,0.345059,0
2,Kmeans,0.259631,0
2,Kmeans,0.149276,0
2,Kmeans,0.356181,1
2,Kmeans,0.128175,0
2,Kmeans,0.297742,1
2,Kmeans,0.21199,1
2,Kmeans,0.051718,0
2,Kmeans,0.029097,0
2,Kmeans,0.076705,1
2,Kmeans,0.183099,0
2,Kmeans,0.182865,1
2,Kmeans,0.189143,1
2,Kmeans,0.142996,0
2,Kmeans,0.094473,0
2,Kmeans,0.134798,0
2,Kmeans,0.074544,0
2,Kmeans,0.138137,0
2,Kmeans,0.176725,0
2,Kmeans,0.125278,1
2,Kmeans,0.212818,1
2,Kmeans,0.29893,1
2,Kmeans,0.23043,0
2,Kmeans,0.041783,0
2,Kmeans,0.229136,0
2,Kmeans,0.261478,0
2,Kmeans,0.09249,1
2,Kmeans,0.110807,0
2,Kmeans,0.346151,0
2,Kmeans,0.323215,0
