k,GMM,Kmeans
2,0.03053376880448705,0.1857492463471954
3,-0.005242337957263182,0.18214573199197298
4,0.0803409944056796,0.16759985024333532
5,0.07919349878846284,0.16871825511369812
6,0.08230922067816328,0.16932466919272227
7,0.0971910964085098,0.17250994922411506
8,0.08727869775735858,0.1704083347608034
9,0.0933238100145398,0.17327351979044797
10,0.10560897685716006,0.16742071097194702
15,0.14116282569594257,0.17649828694256034
20,0.16244898601376773,0.18303221623681654
25,0.16517988046810947,0.18146017117014393
30,0.17065683178689856,0.18166128612094218
35,0.1690861414999626,0.1823067113550557
40,0.17445910578374182,0.17712644906199113
