k,GMM,Kmeans
2,0.0007687935172056484,-0.000493562973528273
3,-0.000581366540661089,0.0011888201414429085
4,0.0023798675390968743,0.00390101938884142
5,-0.0004346337752677154,0.0011833367848628922
6,-0.0012629226737199011,0.00014623350446181502
7,-0.0001965705678613336,0.0015702098072500465
8,-0.0013240902656624141,0.002603280029714483
9,-0.0002218443152416797,0.001026183721089418
10,8.466408783880283e-05,0.002858549111348373
15,-0.0006185271925942552,0.0001943073313179275
20,0.0008285493549348267,0.0008697488090848678
25,-0.0011117500912108114,-4.613321411346031e-05
30,0.0016771101652362519,0.0007202823909259722
35,0.0005831398154972986,0.0020582652781652696
40,0.0002268552812492032,0.0014086992396005677
