k,type,score,label
2,Kmeans,0.021085,0
2,Kmeans,0.132349,1
2,Kmeans,0.072089,0
2,Kmeans,0.060859,1
2,Kmeans,0.117571,1
2,Kmeans,-0.011511,0
2,Kmeans,0.057622,1
2,Kmeans,0.238657,1
2,Kmeans,0.091002,1
2,Kmeans,0.117212,1
2,Kmeans,0.129063,1
2,Kmeans,0.081876,0
2,Kmeans,-0.003787,0
2,Kmeans,0.049125,1
2,Kmeans,-0.013789,0
2,Kmeans,0.106959,0
2,Kmeans,0.073085,1
2,Kmeans,0.089021,1
2,Kmeans,0.106114,1
2,Kmeans,0.0927,1
2,Kmeans,0.074082,0
2,Kmeans,0.179392,1
2,Kmeans,0.034252,1
2,Kmeans,0.138804,1
2,Kmeans,0.108256,0
2,Kmeans,0.135139,1
2,Kmeans,0.097486,1
2,Kmeans,0.150984,1
2,Kmeans,0.078875,0
2,Kmeans,0.150739,1
2,Kmeans,0.230038,1
2,Kmeans,0.180175,1
2,Kmeans,0.136055,1
2,Kmeans,0.099629,1
2,Kmeans,-0.008699,0
2,Kmeans,0.047942,0
2,Kmeans,0.177372,1
2,Kmeans,0.169506,0
2,Kmeans,0.060586,1
2,Kmeans,0.086393,0
2,Kmeans,0.129423,1
2,Kmeans,0.05054,0
2,Kmeans,0.113687,0
2,Kmeans,0.114537,0
2,Kmeans,0.153154,1
2,Kmeans,0.053792,0
2,Kmeans,0.166923,1
2,Kmeans,0.027219,1
2,Kmeans,0.150595,1
2,Kmeans,0.114537,1
2,Kmeans,0.19679,1
2,Kmeans,-0.005515,0
2,Kmeans,0.066154,0
2,Kmeans,0.20568,1
2,Kmeans,0.054476,1
2,Kmeans,0.028452,1
2,Kmeans,0.031289,0
2,Kmeans,0.052049,1
2,Kmeans,0.121712,1
2,Kmeans,0.156852,1
2,Kmeans,0.026097,1
2,Kmeans,-0.005664,0
2,Kmeans,0.147858,1
2,Kmeans,0.130312,0
2,Kmeans,-0.001791,0
2,Kmeans,0.025444,1
2,Kmeans,-0.008661,0
2,Kmeans,0.098545,1
2,Kmeans,0.018357,0
2,Kmeans,0.084351,1
2,Kmeans,0.015204,1
2,Kmeans,0.046935,0
2,Kmeans,0.046685,1
2,Kmeans,0.029232,1
2,Kmeans,0.170726,1
2,Kmeans,0.09637,0
2,Kmeans,0.07594,1
2,Kmeans,0.09068,1
2,Kmeans,0.059454,1
2,Kmeans,0.090629,1
2,Kmeans,0.206729,1
2,Kmeans,0.059395,0
2,Kmeans,0.041618,1
2,Kmeans,0.087761,1
2,Kmeans,0.050399,1
2,Kmeans,0.039065,1
2,Kmeans,0.031443,0
2,Kmeans,0.027871,1
2,Kmeans,0.108521,1
2,Kmeans,0.120947,1
2,Kmeans,0.097908,0
2,Kmeans,0.057414,1
2,Kmeans,0.140252,0
2,Kmeans,0.092517,1
2,Kmeans,0.071158,0
2,Kmeans,0.139625,1
2,Kmeans,0.05663,1
2,Kmeans,0.088994,0
2,Kmeans,0.054553,0
2,Kmeans,0.105215,1
2,Kmeans,0.145676,0
2,Kmeans,0.207862,1
2,Kmeans,0.182082,0
2,Kmeans,0.053025,1
2,Kmeans,0.123691,1
2,Kmeans,0.04472,0
2,Kmeans,0.053726,1
2,Kmeans,-0.015605,0
2,Kmeans,0.080015,1
2,Kmeans,0.120053,0
2,Kmeans,0.092662,0
2,Kmeans,0.130191,1
2,Kmeans,0.073349,1
2,Kmeans,0.202731,0
2,Kmeans,0.16558,1
2,Kmeans,0.211535,1
2,Kmeans,0.134072,1
2,Kmeans,-0.003601,0
2,Kmeans,0.028465,1
2,Kmeans,0.197723,0
2,Kmeans,0.105937,0
2,Kmeans,0.089947,0
2,Kmeans,0.125424,1
2,Kmeans,0.205329,1
2,Kmeans,0.014248,0
2,Kmeans,0.21726,0
2,Kmeans,0.248348,1
2,Kmeans,0.191953,1
2,Kmeans,0.06214,1
2,Kmeans,0.102193,0
2,Kmeans,0.165656,0
