k,GMM,Kmeans
2,0.0002515767659056258,0.043399181852822634
3,0.0020003545702709374,0.029485462586872575
4,0.015451200190638944,0.01322834530824172
5,0.013940835393795035,0.016604492136674285
6,0.007380713331112502,0.016376697472163027
7,0.0113466235154621,0.017893153636282414
8,0.009976668617653606,0.01794288775729602
9,0.011811364750273239,0.01782554674622998
10,0.015188245125164484,0.011489636834038967
15,0.01995404167737029,0.01286320271985077
20,0.004035066767101031,0.019672163032224063
25,0.014452434155203569,0.021832828517066766
30,0.01632638231937474,0.02073880791495864
35,0.02469145768219861,0.022012981047299207
40,0.025576251441358198,0.024423449995434308
