k,GMM,Kmeans
2,0.31384527362621245,0.19090217554059147
3,0.0017794952710542143,0.19044033086795717
4,0.04783515389619011,0.1447108678787596
5,0.07992768608339754,0.15941298430312914
6,0.04507486981422903,0.16559017150048588
7,0.052158741013169974,0.15817830294040283
8,0.08351050305564191,0.16771546940867016
9,0.0777856581359775,0.16092572169639424
10,0.07870407944021572,0.15590554091885866
15,0.11931801249779156,0.18688901988798776
20,0.06385909548473044,0.19922562358696064
25,0.08991127936575977,0.20271269166048644
30,0.08778516838255898,0.20786310332277036
35,0.10027962849441405,0.21443935931737756
40,0.08242858831824548,0.21212523673609676
