k,type,score,label
2,Kmeans,-0.045613,1
2,Kmeans,0.1349,1
2,Kmeans,0.288661,0
2,Kmeans,0.305869,0
2,Kmeans,0.122351,0
2,Kmeans,0.356158,0
2,Kmeans,0.360094,0
2,Kmeans,0.09654,1
2,Kmeans,0.16239,0
2,Kmeans,0.222555,0
2,Kmeans,0.144528,0
2,Kmeans,-0.05101,1
2,Kmeans,0.338964,0
2,Kmeans,0.242635,0
2,Kmeans,0.258736,0
2,Kmeans,0.285817,0
2,Kmeans,0.270968,0
2,Kmeans,0.234227,0
2,Kmeans,0.316375,0
2,Kmeans,0.234057,0
2,Kmeans,0.115672,1
2,Kmeans,0.143166,1
2,Kmeans,0.323361,0
2,Kmeans,0.265414,0
2,Kmeans,0.17585,0
2,Kmeans,0.211905,0
2,Kmeans,0.10219,1
2,Kmeans,0.088918,0
2,Kmeans,0.321442,0
2,Kmeans,0.009188,1
2,Kmeans,0.303206,0
2,Kmeans,0.249757,0
2,Kmeans,0.058636,1
2,Kmeans,0.245705,0
2,Kmeans,0.199197,0
2,Kmeans,0.075101,1
2,Kmeans,0.007935,1
2,Kmeans,0.046121,1
2,Kmeans,0.128523,0
2,Kmeans,0.173322,1
2,Kmeans,0.136435,0
2,Kmeans,0.168576,0
2,Kmeans,-0.008791,1
2,Kmeans,-0.086108,1
2,Kmeans,0.260437,0
2,Kmeans,0.040874,1
2,Kmeans,0.210462,0
2,Kmeans,0.107334,1
2,Kmeans,0.15532,1
2,Kmeans,0.216543,0
2,Kmeans,0.083745,1
2,Kmeans,0.076842,1
2,Kmeans,0.301469,0
2,Kmeans,0.322773,0
2,Kmeans,0.318565,0
2,Kmeans,0.004383,1
2,Kmeans,0.175156,0
2,Kmeans,0.172029,0
2,Kmeans,-0.121592,1
2,Kmeans,0.087934,1
2,Kmeans,0.27165,0
2,Kmeans,0.200876,0
2,Kmeans,0.183751,1
2,Kmeans,0.092302,0
2,Kmeans,0.285125,0
2,Kmeans,0.259817,0
2,Kmeans,-0.008594,1
2,Kmeans,0.084945,1
2,Kmeans,0.320001,0
2,Kmeans,0.288905,0
2,Kmeans,-0.04522,1
2,Kmeans,0.211777,0
2,Kmeans,0.351573,0
2,Kmeans,0.312302,0
2,Kmeans,-0.006619,1
2,Kmeans,-0.030248,1
2,Kmeans,0.135102,0
2,Kmeans,0.328254,0
2,Kmeans,0.095387,1
2,Kmeans,-0.011436,1
2,Kmeans,0.321255,0
2,Kmeans,0.124891,0
2,Kmeans,0.216965,0
2,Kmeans,-0.064839,1
2,Kmeans,0.176569,0
2,Kmeans,0.229309,0
2,Kmeans,0.205805,0
2,Kmeans,0.005318,1
2,Kmeans,0.21924,0
2,Kmeans,0.229056,0
2,Kmeans,0.03867,1
2,Kmeans,0.247382,0
2,Kmeans,0.116136,0
2,Kmeans,0.203559,0
2,Kmeans,0.179533,0
2,Kmeans,0.343483,0
2,Kmeans,0.259021,0
2,Kmeans,0.291482,0
2,Kmeans,0.20693,0
2,Kmeans,0.170118,0
2,Kmeans,0.176311,0
