k,GMM,Kmeans
2,0.5163265306122449,0.5091836734693878
3,0.5163265306122449,0.513265306122449
4,0.5142857142857142,0.5204081632653061
5,0.5142857142857142,0.5163265306122449
6,0.5428571428571428,0.5377551020408163
7,0.5244897959183673,0.5265306122448979
8,0.5183673469387755,0.5346938775510204
9,0.5204081632653061,0.5377551020408163
10,0.5306122448979592,0.5336734693877551
15,0.5428571428571428,0.5510204081632653
20,0.5561224489795918,0.563265306122449
25,0.5785714285714286,0.5693877551020409
30,0.5806122448979592,0.5663265306122449
35,0.5704081632653061,0.5714285714285714
40,0.5836734693877551,0.5795918367346938
