k,GMM,Kmeans
2,0.06753315867599091,0.07582363484355836
3,0.043297743511660554,0.0696802855513772
4,0.04286315955035194,0.06677577920469435
5,0.009830235492389676,0.06533398440148044
6,-0.00016252177147442907,0.06609641863753377
7,0.005648961149917709,0.0638649624344216
8,0.00691247780642357,0.06223609359451487
9,0.015001105932279065,0.06251891233623338
10,0.011923207718964279,0.06277301318659663
15,0.016445089988167436,0.06163016683955765
20,0.018187730985228245,0.0631884382065157
25,0.01553652034216567,0.06437395987213057
30,0.030954100130719718,0.06797691995712085
35,0.03181459807497659,0.06396200061934526
40,0.03574546765773412,0.0654271251960494
