k,GMM,Kmeans
2,0.7592860588519055,0.7592860588519055
3,0.7592860588519055,0.7592860588519055
4,0.7592860588519055,0.7592860588519055
5,0.7597684515195369,0.7592860588519055
6,0.7597684515195369,0.7592860588519055
7,0.7597684515195369,0.7597684515195369
8,0.7592860588519055,0.7592860588519055
9,0.7592860588519055,0.7592860588519055
10,0.7592860588519055,0.7592860588519055
15,0.7592860588519055,0.7597684515195369
20,0.7650747708634829,0.7602508441871684
25,0.7612156295224313,0.7602508441871684
30,0.76410998552822,0.7698986975397974
35,0.7612156295224313,0.7612156295224313
40,0.7670043415340086,0.768451519536903
