k,GMM,Kmeans
2,0.12465773997703931,0.10021593569219085
3,0.07317373490755369,0.10568595071269207
4,0.03994322201190547,0.11613844941568842
5,0.05030473773591038,0.11089017234241927
6,0.04779298098816098,0.14162739040210146
7,0.0435895143531151,0.14380150377375525
8,0.04445114138727471,0.1489072113171473
9,0.05749511420630787,0.16327529661871945
10,0.07646871808911328,0.1684165549309801
15,0.08395291335320512,0.16687881970940638
20,0.10594067604008377,0.17729709797933663
25,0.11490388908384873,0.1627539587612729
30,0.11594424275308768,0.18243736123715257
35,0.1170418444596645,0.1741786655332052
40,0.12417997468314636,0.16640142996243176
