k,GMM,Kmeans
2,-0.0006205929196559942,-5.3756363272958364e-05
3,4.877589467086268e-06,0.0002670769671882315
4,-9.738633260740351e-05,-0.00030001551822395994
5,-0.00023113311169971486,0.0022030367031169546
6,0.0002196815940444021,0.002246201960882136
7,0.00297697632632536,0.0002521995512988564
8,-0.0002188458778057093,0.002720199444002762
9,-0.00023937907538927903,0.002040278889079924
10,-0.0006347940397418368,0.0025923119040294888
15,0.001655442864068857,-0.0006652126864982209
20,2.9712211820824894e-05,-0.0005397183650653981
25,0.0019619683963851553,0.0015203305064930815
30,0.0024859142422649777,0.0008338818045772362
35,0.002825590035058232,0.002825590035058232
40,0.0029133491955153196,0.0016944622231825166
