k,type,score,label
2,Kmeans,0.036737,1
2,Kmeans,0.091489,0
2,Kmeans,0.081178,1
2,Kmeans,0.039031,0
2,Kmeans,0.092822,0
2,Kmeans,0.022097,1
2,Kmeans,0.054947,1
2,Kmeans,0.035316,1
2,Kmeans,0.074803,0
2,Kmeans,0.040321,1
2,Kmeans,0.013389,0
2,Kmeans,0.067955,1
2,Kmeans,0.047186,0
2,Kmeans,0.108676,0
2,Kmeans,0.101111,0
2,Kmeans,0.008992,0
2,Kmeans,0.03681,0
2,Kmeans,0.034518,1
2,Kmeans,0.068311,0
2,Kmeans,0.017231,0
2,Kmeans,0.055417,1
2,Kmeans,0.036467,1
2,Kmeans,0.051055,0
2,Kmeans,0.014978,0
2,Kmeans,0.011299,1
2,Kmeans,0.084186,1
2,Kmeans,0.05511,1
2,Kmeans,0.062846,1
2,Kmeans,0.032423,0
2,Kmeans,0.059682,0
2,Kmeans,0.038741,1
2,Kmeans,0.049725,0
2,Kmeans,0.010518,1
2,Kmeans,0.044662,1
2,Kmeans,0.086042,1
2,Kmeans,0.044101,0
2,Kmeans,0.090348,0
2,Kmeans,0.084467,0
2,Kmeans,0.029301,0
2,Kmeans,0.045945,0
2,Kmeans,0.074109,0
2,Kmeans,0.029214,1
2,Kmeans,0.049751,1
2,Kmeans,0.013721,1
2,Kmeans,0.050876,1
2,Kmeans,0.042235,0
2,Kmeans,0.062973,0
2,Kmeans,0.066734,1
2,Kmeans,0.025521,0
2,Kmeans,0.052184,0
2,Kmeans,0.08424,0
2,Kmeans,0.020069,1
2,Kmeans,0.015486,0
2,Kmeans,0.033406,0
2,Kmeans,0.020811,1
2,Kmeans,0.113152,0
2,Kmeans,0.016384,1
2,Kmeans,0.058602,1
2,Kmeans,0.041698,0
2,Kmeans,0.072006,1
2,Kmeans,0.010638,1
2,Kmeans,0.068656,0
2,Kmeans,0.055656,0
2,Kmeans,0.053424,1
2,Kmeans,0.099087,1
2,Kmeans,0.058983,1
2,Kmeans,0.017723,1
2,Kmeans,0.04361,0
2,Kmeans,0.10785,0
2,Kmeans,0.010795,1
2,Kmeans,0.00821,0
2,Kmeans,0.10555,0
2,Kmeans,0.062352,0
2,Kmeans,0.03235,1
2,Kmeans,-0.001542,1
2,Kmeans,0.028087,0
2,Kmeans,0.110332,0
2,Kmeans,0.052192,0
2,Kmeans,0.07584,1
2,Kmeans,0.05792,1
2,Kmeans,0.014061,1
2,Kmeans,0.079682,1
2,Kmeans,0.01615,1
2,Kmeans,0.082424,1
2,Kmeans,0.043649,0
2,Kmeans,0.040334,0
2,Kmeans,0.011621,0
2,Kmeans,0.053923,0
2,Kmeans,0.068895,0
2,Kmeans,0.056249,0
2,Kmeans,0.049059,1
2,Kmeans,0.028958,1
2,Kmeans,0.052572,0
2,Kmeans,0.016176,0
2,Kmeans,0.081186,1
2,Kmeans,0.065248,1
2,Kmeans,0.033303,1
