k,GMM,Kmeans
2,0.7592860588519055,0.7592860588519055
3,0.7592860588519055,0.7592860588519055
4,0.7592860588519055,0.7592860588519055
5,0.7592860588519055,0.7592860588519055
6,0.7592860588519055,0.769416304872166
7,0.7592860588519055,0.7747226242161119
8,0.7602508441871684,0.773757838880849
9,0.7592860588519055,0.8166907863000482
10,0.788712011577424,0.8128316449589966
15,0.804630969609262,0.8099372889532079
20,0.8080077182826821,0.8104196816208393
25,0.7925711529184757,0.8133140376266281
30,0.8027013989387362,0.8055957549445248
35,0.804630969609262,0.8181379643029426
40,0.8027013989387362,0.8157260009647853
