k,GMM,Kmeans
2,0.1464891520042315,0.1814973889308301
3,0.17540999579904876,0.1862899361267375
4,0.19019387182900177,0.20821373218585465
5,0.1898763571920575,0.22369906058957964
6,0.1602292311801608,0.20204338819675063
7,0.16412268491651685,0.21496563754565134
8,0.17764149482709304,0.22432704601691422
9,0.17462834652905315,0.20377163101625037
10,0.10393101309870946,0.2196458475787876
15,0.08803002809019046,0.2058819554356882
20,0.11425317113653774,0.20557342284046445
25,0.12461004332598878,0.18600625114020145
30,0.13143960664815188,0.19975083528022275
35,0.1479561118630263,0.21544141934601832
40,0.13791238359512445,0.19285043986399256
