k,GMM,Kmeans
2,0.033360618221373865,0.024905627452014654
3,0.011253641820483381,0.02409260228093796
4,0.0042884610627388926,0.009825971137790964
5,-2.7062087592791086e-05,0.008863639284979765
6,0.003457574794142561,0.005199113785481683
7,0.0037609245366565475,0.010630419797819873
8,0.006989874194745386,0.020093757126394954
9,0.012204977554742816,0.028414261339214996
10,0.01020104609008367,0.030852660762201875
15,0.02059788059485947,0.03153269043341121
20,0.019487779465628647,0.019838957638989952
25,0.02439255481874866,0.029927407156891593
30,0.022042949750845628,0.027166522167422647
35,0.02504694391734658,0.02452962092584224
40,0.0245531906749466,0.022944615410432443
