k,GMM,Kmeans
2,0.7592860588519055,0.7592860588519055
3,0.7592860588519055,0.7592860588519055
4,0.7838880849011095,0.76410998552822
5,0.7916063675832128,0.7718282682103232
6,0.7935359382537386,0.7718282682103232
7,0.7853352629040039,0.8282682103232031
8,0.7756874095513748,0.8268210323203087
9,0.7723106608779546,0.8258562469850458
10,0.7930535455861071,0.82392667631452
15,0.7920887602508442,0.829232995658466
20,0.7978774722624216,0.8268210323203087
25,0.8364688856729378,0.8277858176555717
30,0.8350217076700435,0.8355041003376749
35,0.8321273516642547,0.8335745296671491
40,0.829232995658466,0.834539315002412
