k,GMM,Kmeans
2,0.10289449904166366,0.15111282194922052
3,0.1062976672129339,0.10665202715303111
4,0.10745835512841817,0.11106768946520501
5,0.08701789432567732,0.10257669420702624
6,0.08915073127975251,0.08040050298512823
7,0.0825454605322572,0.0887051171990644
8,0.07653843827926923,0.08207767778023244
9,0.07467417679996101,0.07639789635929956
10,0.07636193364144239,0.0733517882762478
15,0.07818591056430309,0.06597870360878845
20,0.06484703807906556,0.06146096213888962
25,0.07004450185612003,0.056037134813076137
30,0.06524060572902593,0.059376841658845506
35,0.060927472838814466,0.055196847906990774
40,0.0554260810602649,0.05331434039832266
