k,type,score,label
2,Kmeans,0.30593,1
2,Kmeans,0.333304,0
2,Kmeans,0.453026,1
2,Kmeans,0.366776,0
2,Kmeans,0.419833,1
2,Kmeans,0.426644,1
2,Kmeans,0.285065,0
2,Kmeans,0.406753,1
2,Kmeans,0.440368,1
2,Kmeans,0.127531,1
2,Kmeans,0.403222,1
2,Kmeans,0.476888,1
2,Kmeans,0.40163,0
2,Kmeans,0.33746,0
2,Kmeans,0.416811,1
2,Kmeans,0.462436,1
2,Kmeans,0.195662,0
2,Kmeans,0.371068,1
2,Kmeans,0.071777,0
2,Kmeans,0.298359,1
2,Kmeans,0.370365,1
2,Kmeans,0.320218,0
2,Kmeans,0.405599,0
2,Kmeans,0.126632,0
2,Kmeans,0.468493,1
2,Kmeans,0.424644,1
2,Kmeans,0.348274,0
2,Kmeans,0.188452,1
2,Kmeans,0.176043,0
2,Kmeans,0.340344,0
2,Kmeans,0.265347,0
2,Kmeans,0.421924,1
2,Kmeans,0.294582,0
2,Kmeans,0.390734,1
2,Kmeans,0.165507,0
2,Kmeans,0.255916,1
2,Kmeans,0.310999,0
2,Kmeans,0.260006,1
2,Kmeans,0.204446,1
2,Kmeans,0.325591,0
2,Kmeans,0.360036,1
2,Kmeans,0.449513,1
2,Kmeans,0.331073,0
2,Kmeans,0.341271,0
2,Kmeans,0.257272,0
2,Kmeans,0.363426,0
2,Kmeans,0.170595,0
2,Kmeans,0.398289,1
2,Kmeans,0.125957,1
2,Kmeans,0.462832,1
2,Kmeans,0.175438,0
2,Kmeans,0.432461,1
2,Kmeans,0.227645,0
2,Kmeans,0.459943,1
2,Kmeans,0.167765,0
2,Kmeans,0.380268,0
2,Kmeans,0.388791,1
2,Kmeans,0.364957,1
2,Kmeans,0.298252,0
2,Kmeans,0.209378,1
2,Kmeans,0.136251,0
2,Kmeans,0.40801,1
2,Kmeans,0.333175,0
2,Kmeans,0.350015,0
2,Kmeans,0.47836,1
2,Kmeans,0.423753,1
2,Kmeans,0.212506,0
2,Kmeans,0.446763,1
2,Kmeans,0.215875,0
2,Kmeans,0.303444,0
2,Kmeans,0.404806,0
2,Kmeans,0.197177,1
2,Kmeans,0.290429,0
2,Kmeans,0.17677,0
2,Kmeans,0.020225,0
2,Kmeans,0.369755,0
2,Kmeans,0.09171,0
2,Kmeans,0.201471,0
2,Kmeans,0.394023,1
2,Kmeans,0.337709,0
2,Kmeans,0.190805,0
2,Kmeans,0.392451,0
2,Kmeans,0.136327,0
2,Kmeans,0.213621,1
2,Kmeans,0.408673,1
2,Kmeans,0.426922,1
2,Kmeans,0.379554,1
2,Kmeans,0.361073,0
2,Kmeans,0.098729,1
2,Kmeans,0.338003,0
2,Kmeans,0.298962,0
2,Kmeans,0.167257,1
2,Kmeans,0.221652,0
2,Kmeans,0.236041,0
2,Kmeans,0.229377,0
2,Kmeans,0.105593,0
2,Kmeans,0.251752,0
2,Kmeans,0.430148,1
2,Kmeans,0.419959,1
2,Kmeans,0.286146,0
2,Kmeans,0.356894,0
2,Kmeans,0.254574,0
2,Kmeans,0.263078,1
2,Kmeans,0.349476,0
2,Kmeans,0.397326,0
2,Kmeans,0.241736,0
2,Kmeans,0.120855,1
2,Kmeans,0.211226,0
2,Kmeans,0.243414,1
2,Kmeans,0.284415,0
2,Kmeans,0.465739,1
2,Kmeans,0.171741,0
2,Kmeans,0.34699,0
2,Kmeans,0.182301,1
2,Kmeans,0.461212,1
2,Kmeans,0.318947,0
2,Kmeans,0.35076,0
2,Kmeans,0.100799,0
2,Kmeans,0.327514,0
2,Kmeans,0.416864,1
2,Kmeans,0.346719,0
2,Kmeans,0.278327,0
2,Kmeans,0.158322,0
2,Kmeans,0.074983,0
2,Kmeans,0.360632,1
2,Kmeans,0.238401,0
2,Kmeans,0.155806,1
2,Kmeans,0.12282,0
2,Kmeans,0.103513,0
2,Kmeans,0.389022,1
2,Kmeans,0.313057,1
2,Kmeans,0.360685,1
2,Kmeans,0.308859,0
2,Kmeans,0.247634,1
2,Kmeans,0.115155,0
2,Kmeans,0.464029,1
2,Kmeans,0.378916,1
2,Kmeans,0.470977,1
2,Kmeans,0.38691,1
2,Kmeans,0.183276,0
2,Kmeans,0.443476,1
2,Kmeans,0.302357,0
2,Kmeans,0.457507,1
