k,GMM,Kmeans
2,0.2794970238206408,0.28284618546846363
3,0.28530567048728644,0.28505826115002686
4,0.2847997194268632,0.2944304529464223
5,0.28311809765040974,0.31801292859769575
6,0.2788013926324427,0.310158905225298
7,0.2923355096927071,0.26091452809608107
8,0.23883386969163511,0.26466049241798983
9,0.2688919705303076,0.2595916716627643
10,0.22865456416900187,0.25892100606875057
15,0.23278386917298424,0.21466925161189448
20,0.08056911997678771,0.23074988989408596
25,0.10842680124851747,0.23690080385782822
30,0.10765064671585566,0.22990147888833606
35,0.020420613731748784,0.22594355457964008
40,0.014499026998137057,0.22531116080315292
