k,GMM,Kmeans
2,0.5306122448979592,0.5877551020408164
3,0.5408163265306123,0.5591836734693878
4,0.539795918367347,0.5612244897959183
5,0.5520408163265306,0.5724489795918367
6,0.5561224489795918,0.5724489795918367
7,0.5887755102040816,0.5969387755102041
8,0.6020408163265306,0.6551020408163265
9,0.6285714285714286,0.6795918367346939
10,0.6255102040816326,0.6806122448979591
15,0.6551020408163265,0.6887755102040817
20,0.6785714285714286,0.6877551020408164
25,0.7357142857142858,0.7346938775510204
30,0.7459183673469387,0.7622448979591837
35,0.753061224489796,0.753061224489796
40,0.7775510204081633,0.7887755102040817
