k,GMM,Kmeans
2,0.002103182744988482,0.021628279803274635
3,0.004597641816064339,0.007787023725298033
4,0.0015242195686218185,0.005408200464221006
5,0.008943618628939694,0.010162159154751204
6,0.006989990760165121,0.011112961164718093
7,0.009992176414353614,0.01476032365910689
8,0.01336299605357594,0.030063062733332965
9,0.02158628170006793,0.03410074138426107
10,0.019866964465013418,0.0318715327576752
15,0.024914071987124746,0.04063691378941868
20,0.023957927382112134,0.03228473497086571
25,0.04623011859028986,0.044486985344126345
30,0.0440241244509613,0.05369116953318145
35,0.045799077619452816,0.045799077619452816
40,0.05347430552839835,0.05479844171416725
