k,type,score,label
2,Kmeans,0.26192,0
2,Kmeans,0.112736,0
2,Kmeans,0.266647,1
2,Kmeans,0.114687,0
2,Kmeans,0.016458,0
2,Kmeans,0.052274,1
2,Kmeans,0.225268,1
2,Kmeans,0.157704,0
2,Kmeans,0.050726,0
2,Kmeans,0.04354,0
2,Kmeans,0.266752,0
2,Kmeans,0.090712,0
2,Kmeans,0.266644,1
2,Kmeans,0.255989,0
2,Kmeans,0.058173,0
2,Kmeans,0.136353,0
2,Kmeans,0.025884,0
2,Kmeans,0.031505,1
2,Kmeans,0.247946,1
2,Kmeans,0.080539,1
2,Kmeans,0.298801,1
2,Kmeans,0.09288,1
2,Kmeans,0.255491,0
2,Kmeans,0.186036,1
2,Kmeans,0.195627,1
2,Kmeans,0.09053,1
2,Kmeans,0.26376,0
2,Kmeans,0.228285,0
2,Kmeans,0.275735,0
2,Kmeans,0.056037,1
2,Kmeans,0.174,1
2,Kmeans,0.253078,0
2,Kmeans,0.03571,1
2,Kmeans,0.042279,1
2,Kmeans,0.143862,1
2,Kmeans,0.135901,1
2,Kmeans,0.02575,0
2,Kmeans,0.057997,0
2,Kmeans,0.088871,1
2,Kmeans,0.110641,0
2,Kmeans,0.037948,1
2,Kmeans,0.056287,0
2,Kmeans,0.237451,0
2,Kmeans,0.158955,0
2,Kmeans,0.305924,1
2,Kmeans,0.062379,0
2,Kmeans,0.314167,0
2,Kmeans,0.144904,0
2,Kmeans,0.248514,0
2,Kmeans,0.24982,1
2,Kmeans,0.039751,0
2,Kmeans,0.252634,0
2,Kmeans,0.030482,1
2,Kmeans,0.275715,0
2,Kmeans,0.030772,1
2,Kmeans,0.141685,1
2,Kmeans,0.190534,0
2,Kmeans,0.092608,1
2,Kmeans,0.084121,0
2,Kmeans,0.236029,0
2,Kmeans,0.063162,0
2,Kmeans,0.032648,0
2,Kmeans,0.188762,0
2,Kmeans,0.208676,0
2,Kmeans,0.083553,1
2,Kmeans,0.00829,1
2,Kmeans,0.195767,0
2,Kmeans,0.042085,0
2,Kmeans,0.193155,0
2,Kmeans,0.113107,1
2,Kmeans,0.11134,1
2,Kmeans,0.038504,1
2,Kmeans,0.272958,0
2,Kmeans,0.03693,0
2,Kmeans,0.177535,1
2,Kmeans,0.021411,1
2,Kmeans,0.088327,1
2,Kmeans,0.110679,1
2,Kmeans,0.188805,0
2,Kmeans,0.230305,1
2,Kmeans,0.062669,0
2,Kmeans,0.156013,1
2,Kmeans,0.118745,1
2,Kmeans,0.222973,1
2,Kmeans,0.011031,1
2,Kmeans,0.185779,0
2,Kmeans,0.114373,0
2,Kmeans,0.042406,1
2,Kmeans,0.185752,1
2,Kmeans,0.291827,1
2,Kmeans,0.188725,0
2,Kmeans,0.241473,0
2,Kmeans,0.114957,1
2,Kmeans,0.244897,0
2,Kmeans,0.084307,1
2,Kmeans,0.280526,1
2,Kmeans,0.001999,1
2,Kmeans,0.255248,0
2,Kmeans,0.295781,0
2,Kmeans,0.122448,1
2,Kmeans,0.112063,0
2,Kmeans,0.176519,1
2,Kmeans,0.14941,1
2,Kmeans,0.186515,1
2,Kmeans,0.141537,1
2,Kmeans,0.091312,1
2,Kmeans,0.122299,1
2,Kmeans,0.022898,0
2,Kmeans,0.228765,0
2,Kmeans,0.19206,0
2,Kmeans,0.025425,0
2,Kmeans,0.220721,0
2,Kmeans,0.152093,0
2,Kmeans,0.13882,1
2,Kmeans,0.30279,1
2,Kmeans,0.054446,1
2,Kmeans,0.000845,1
2,Kmeans,0.204242,1
2,Kmeans,0.066149,0
2,Kmeans,0.13651,1
2,Kmeans,0.200741,1
2,Kmeans,0.252676,1
2,Kmeans,0.03247,1
2,Kmeans,0.108965,0
2,Kmeans,0.064701,1
2,Kmeans,0.314238,0
2,Kmeans,0.150197,1
2,Kmeans,0.052747,1
2,Kmeans,0.252529,0
2,Kmeans,0.074677,1
2,Kmeans,0.179985,0
2,Kmeans,0.062641,0
2,Kmeans,0.295855,1
2,Kmeans,0.258379,1
2,Kmeans,0.306231,0
2,Kmeans,0.151329,1
2,Kmeans,0.184925,0
2,Kmeans,0.287364,1
2,Kmeans,0.308725,0
2,Kmeans,0.073929,1
2,Kmeans,0.020689,0
2,Kmeans,0.043371,0
2,Kmeans,0.030242,0
2,Kmeans,0.290768,1
2,Kmeans,0.00279,1
2,Kmeans,0.225075,1
2,Kmeans,0.162035,0
2,Kmeans,0.240599,0
2,Kmeans,0.090573,0
2,Kmeans,0.130913,0
2,Kmeans,0.105615,0
2,Kmeans,0.199969,0
2,Kmeans,0.056422,1
2,Kmeans,0.218886,0
2,Kmeans,0.062709,0
2,Kmeans,0.278871,1
2,Kmeans,0.020281,1
2,Kmeans,0.254916,0
2,Kmeans,0.288884,0
2,Kmeans,0.069896,0
2,Kmeans,0.173193,0
2,Kmeans,0.018473,0
2,Kmeans,0.29523,0
2,Kmeans,0.135261,1
2,Kmeans,0.114636,0
2,Kmeans,0.123779,0
2,Kmeans,0.177317,1
2,Kmeans,0.31006,1
2,Kmeans,0.165377,0
2,Kmeans,0.124587,1
2,Kmeans,0.174524,1
2,Kmeans,0.217856,0
2,Kmeans,0.25599,0
2,Kmeans,0.074076,1
2,Kmeans,0.020225,1
2,Kmeans,0.043543,1
2,Kmeans,0.122247,0
2,Kmeans,0.101208,0
2,Kmeans,0.240228,0
2,Kmeans,0.197053,1
2,Kmeans,0.149795,0
2,Kmeans,0.188264,0
2,Kmeans,0.183649,0
2,Kmeans,0.212339,1
2,Kmeans,0.228025,0
2,Kmeans,0.018094,1
2,Kmeans,0.10839,1
2,Kmeans,0.150045,0
2,Kmeans,0.096871,0
2,Kmeans,0.165798,0
2,Kmeans,0.13816,1
2,Kmeans,0.194713,0
2,Kmeans,0.028846,1
2,Kmeans,0.254265,1
2,Kmeans,0.189274,0
2,Kmeans,0.010185,0
2,Kmeans,0.119158,1
2,Kmeans,0.144534,1
2,Kmeans,0.038921,1
2,Kmeans,0.248893,1
2,Kmeans,0.09246,0
2,Kmeans,0.11079,0
2,Kmeans,0.147781,0
2,Kmeans,0.063989,1
2,Kmeans,0.300158,1
2,Kmeans,0.223379,0
2,Kmeans,0.075008,0
2,Kmeans,0.18162,0
2,Kmeans,0.294668,1
2,Kmeans,0.009757,0
2,Kmeans,0.166426,0
2,Kmeans,0.099799,1
2,Kmeans,0.195739,0
2,Kmeans,0.257849,1
2,Kmeans,-0.001225,1
2,Kmeans,0.312502,1
2,Kmeans,0.244695,0
2,Kmeans,0.084122,1
2,Kmeans,0.016807,0
2,Kmeans,0.258296,1
2,Kmeans,0.119285,0
2,Kmeans,0.241111,0
2,Kmeans,0.128237,1
2,Kmeans,0.101302,1
2,Kmeans,0.213586,1
2,Kmeans,0.070231,1
2,Kmeans,0.041757,0
2,Kmeans,0.008653,1
2,Kmeans,0.278302,1
2,Kmeans,0.213033,1
2,Kmeans,0.152957,0
2,Kmeans,0.314442,0
2,Kmeans,0.114143,1
2,Kmeans,0.232124,1
2,Kmeans,0.324241,1
2,Kmeans,0.156828,0
2,Kmeans,0.275755,0
2,Kmeans,0.026241,0
2,Kmeans,0.123935,0
2,Kmeans,0.175855,1
2,Kmeans,0.058747,1
2,Kmeans,0.325537,0
2,Kmeans,0.046247,1
2,Kmeans,0.126335,1
2,Kmeans,0.293405,0
2,Kmeans,0.058222,1
2,Kmeans,0.123953,0
2,Kmeans,0.120488,1
2,Kmeans,0.098493,0
2,Kmeans,0.064669,0
2,Kmeans,0.097478,0
2,Kmeans,0.094075,1
2,Kmeans,0.199513,1
2,Kmeans,0.113718,1
2,Kmeans,0.060575,0
2,Kmeans,0.293617,1
2,Kmeans,0.135707,0
2,Kmeans,0.199758,1
2,Kmeans,0.135484,0
2,Kmeans,0.011349,1
2,Kmeans,0.210399,0
2,Kmeans,0.051812,0
2,Kmeans,0.181677,0
2,Kmeans,0.248894,1
2,Kmeans,0.227578,0
2,Kmeans,0.034994,1
2,Kmeans,0.050645,0
2,Kmeans,0.068355,1
2,Kmeans,0.253862,1
2,Kmeans,0.286515,0
2,Kmeans,0.298621,0
2,Kmeans,0.012732,1
2,Kmeans,0.196968,0
2,Kmeans,0.262208,1
2,Kmeans,0.210915,1
2,Kmeans,0.139569,1
2,Kmeans,0.140152,1
2,Kmeans,0.325229,0
2,Kmeans,0.222262,1
2,Kmeans,0.046291,0
2,Kmeans,0.245557,1
2,Kmeans,0.216165,1
2,Kmeans,0.254104,0
2,Kmeans,0.261607,0
2,Kmeans,0.078363,1
2,Kmeans,0.094165,0
2,Kmeans,0.249572,0
2,Kmeans,0.012447,1
2,Kmeans,0.085176,0
2,Kmeans,0.215729,0
2,Kmeans,0.027802,1
2,Kmeans,-0.003557,1
2,Kmeans,0.244102,0
2,Kmeans,0.101687,0
2,Kmeans,0.233727,1
2,Kmeans,0.248904,0
2,Kmeans,-0.001068,1
2,Kmeans,0.29903,0
2,Kmeans,0.239326,0
2,Kmeans,0.102981,1
2,Kmeans,0.055662,0
2,Kmeans,0.111078,0
2,Kmeans,0.173596,1
2,Kmeans,0.111622,0
2,Kmeans,0.139795,1
2,Kmeans,0.105966,1
2,Kmeans,0.062016,1
2,Kmeans,0.00753,1
2,Kmeans,0.193377,0
2,Kmeans,0.099093,1
2,Kmeans,0.041665,1
2,Kmeans,0.069525,1
2,Kmeans,0.166659,0
2,Kmeans,0.137054,1
2,Kmeans,0.08473,1
2,Kmeans,0.123605,0
2,Kmeans,0.051105,0
2,Kmeans,0.25084,0
2,Kmeans,0.300944,1
2,Kmeans,0.171711,0
2,Kmeans,0.10854,0
2,Kmeans,0.282664,1
2,Kmeans,0.023053,1
2,Kmeans,0.100393,0
2,Kmeans,0.18048,1
2,Kmeans,0.330089,0
2,Kmeans,0.158072,1
2,Kmeans,0.237354,1
2,Kmeans,0.241523,1
2,Kmeans,0.280627,0
2,Kmeans,0.225725,1
2,Kmeans,0.188013,1
2,Kmeans,0.294042,1
2,Kmeans,0.046063,0
2,Kmeans,0.122525,0
2,Kmeans,0.091657,1
2,Kmeans,0.071967,1
2,Kmeans,0.143573,0
2,Kmeans,0.158511,1
2,Kmeans,0.032965,1
2,Kmeans,0.13543,1
2,Kmeans,0.187343,1
2,Kmeans,-0.003114,1
2,Kmeans,0.215894,0
2,Kmeans,0.275376,0
2,Kmeans,0.236583,0
2,Kmeans,0.298787,0
2,Kmeans,0.235248,1
2,Kmeans,0.073921,1
2,Kmeans,0.279382,1
2,Kmeans,0.016066,1
2,Kmeans,0.198605,1
2,Kmeans,0.043774,1
2,Kmeans,0.098985,0
2,Kmeans,0.169471,0
2,Kmeans,0.25993,1
2,Kmeans,0.200947,0
2,Kmeans,0.094108,0
2,Kmeans,0.121959,1
2,Kmeans,0.267613,1
2,Kmeans,0.154552,1
2,Kmeans,0.056036,1
2,Kmeans,0.177039,0
2,Kmeans,0.244576,0
2,Kmeans,0.024562,0
2,Kmeans,0.213489,1
2,Kmeans,0.10497,1
2,Kmeans,0.298595,1
2,Kmeans,0.25159,1
2,Kmeans,0.016069,1
2,Kmeans,0.270773,1
2,Kmeans,0.225999,0
2,Kmeans,0.276209,0
2,Kmeans,0.250116,1
2,Kmeans,0.164791,1
2,Kmeans,0.254822,1
2,Kmeans,0.019679,1
2,Kmeans,0.269372,1
2,Kmeans,0.191497,1
2,Kmeans,0.105076,1
2,Kmeans,0.095089,0
2,Kmeans,0.047337,1
2,Kmeans,0.133512,1
2,Kmeans,0.237574,1
2,Kmeans,0.146094,1
2,Kmeans,0.103657,0
2,Kmeans,0.151445,1
2,Kmeans,0.229522,1
2,Kmeans,0.209848,1
2,Kmeans,0.032174,0
2,Kmeans,0.112543,1
2,Kmeans,0.231842,1
2,Kmeans,0.055356,0
2,Kmeans,0.101347,0
2,Kmeans,0.192279,0
2,Kmeans,0.241483,0
2,Kmeans,0.233739,1
2,Kmeans,0.195653,0
2,Kmeans,0.316658,0
2,Kmeans,0.046181,0
2,Kmeans,0.263779,1
2,Kmeans,0.180058,0
2,Kmeans,0.247727,1
2,Kmeans,0.111393,1
2,Kmeans,0.052759,1
2,Kmeans,0.24615,0
2,Kmeans,0.081754,0
2,Kmeans,0.155529,0
2,Kmeans,0.198437,1
2,Kmeans,0.146409,1
2,Kmeans,0.065045,0
2,Kmeans,0.302463,1
2,Kmeans,0.056727,0
2,Kmeans,0.071349,0
2,Kmeans,0.341349,0
2,Kmeans,0.070341,0
2,Kmeans,0.131665,0
2,Kmeans,0.258904,1
2,Kmeans,0.264868,0
2,Kmeans,0.146353,1
2,Kmeans,0.06688,1
2,Kmeans,0.136744,1
2,Kmeans,0.1104,1
2,Kmeans,0.210095,0
2,Kmeans,0.102426,1
2,Kmeans,0.043458,0
2,Kmeans,0.315377,0
2,Kmeans,0.12823,1
2,Kmeans,0.081766,0
2,Kmeans,0.252431,1
2,Kmeans,0.024938,1
