k,GMM,Kmeans
2,0.7592860588519055,0.7592860588519055
3,0.7592860588519055,0.7592860588519055
4,0.7592860588519055,0.7592860588519055
5,0.7592860588519055,0.7592860588519055
6,0.7592860588519055,0.7592860588519055
7,0.7592860588519055,0.7592860588519055
8,0.7592860588519055,0.7592860588519055
9,0.7592860588519055,0.7592860588519055
10,0.7592860588519055,0.7592860588519055
15,0.7592860588519055,0.7607332368547998
20,0.7872648335745297,0.76410998552822
25,0.7771345875542692,0.7655571635311144
30,0.769416304872166,0.7723106608779546
35,0.7805113362276893,0.7805113362276893
40,0.7776169802219006,0.779064158224795
