k,GMM,Kmeans
2,0.001605503761655739,0.022511590463914648
3,7.339531299859639e-05,0.01868925645702873
4,0.00025865967476340005,0.023511978588336358
5,0.009737601035668045,0.014989274108538647
6,0.013392601147691984,0.013909338498827572
7,0.007886635998619787,0.017450061106642233
8,0.005229313686201495,0.018417787076998145
9,0.011063587733046071,0.01431890175007245
10,0.006749392574337811,0.018497396559635147
15,0.011949855338363005,0.0204084322735911
20,0.024851638701290115,0.02255267799876159
25,0.021220380452032842,0.02303283929253465
30,0.020521968844830228,0.022463631812996866
35,0.026550528597101563,0.025064077026068332
40,0.02426464750151893,0.023903963587584922
