k,type,score,label
2,Kmeans,0.026935,1
2,Kmeans,0.303766,1
2,Kmeans,0.146268,0
2,Kmeans,0.086603,1
2,Kmeans,0.09323,0
2,Kmeans,0.006265,0
2,Kmeans,0.113087,0
2,Kmeans,0.141198,1
2,Kmeans,0.162818,1
2,Kmeans,0.081883,1
2,Kmeans,-0.015623,0
2,Kmeans,0.06768,0
2,Kmeans,0.075363,0
2,Kmeans,0.153066,1
2,Kmeans,0.335963,1
2,Kmeans,0.352001,1
2,Kmeans,-0.046473,0
2,Kmeans,0.209297,0
2,Kmeans,0.303325,0
2,Kmeans,0.300268,1
2,Kmeans,0.295886,1
2,Kmeans,0.041299,0
2,Kmeans,0.282971,1
2,Kmeans,0.069089,0
2,Kmeans,0.164963,0
2,Kmeans,0.26338,1
2,Kmeans,0.276175,0
2,Kmeans,0.088197,0
2,Kmeans,0.387903,1
2,Kmeans,0.203853,1
2,Kmeans,0.136918,0
2,Kmeans,0.124872,1
2,Kmeans,0.153109,0
2,Kmeans,0.311861,1
2,Kmeans,0.04975,0
2,Kmeans,0.266512,1
2,Kmeans,0.103747,0
2,Kmeans,0.289148,0
2,Kmeans,0.297785,1
2,Kmeans,0.128135,0
2,Kmeans,0.154489,1
2,Kmeans,0.328242,1
2,Kmeans,-0.001353,0
2,Kmeans,0.104356,1
2,Kmeans,0.303996,1
2,Kmeans,0.084228,0
2,Kmeans,0.312394,1
2,Kmeans,0.245395,0
2,Kmeans,0.115041,1
2,Kmeans,0.395875,1
2,Kmeans,0.109494,0
2,Kmeans,0.142908,1
2,Kmeans,0.238597,1
2,Kmeans,0.322683,1
2,Kmeans,0.169058,0
2,Kmeans,0.299568,1
2,Kmeans,0.350086,1
2,Kmeans,0.078506,1
2,Kmeans,0.102596,1
2,Kmeans,0.196575,0
2,Kmeans,0.109721,1
2,Kmeans,0.012476,0
2,Kmeans,0.203071,0
2,Kmeans,0.158264,0
2,Kmeans,0.286415,1
2,Kmeans,0.377121,1
2,Kmeans,0.360244,1
2,Kmeans,0.209639,0
2,Kmeans,0.327651,1
2,Kmeans,-0.045784,0
2,Kmeans,0.278149,1
2,Kmeans,0.163638,0
2,Kmeans,0.204591,0
2,Kmeans,0.367856,1
2,Kmeans,0.232415,1
2,Kmeans,0.174829,0
2,Kmeans,0.113681,1
2,Kmeans,0.043284,0
2,Kmeans,0.307089,1
2,Kmeans,0.105191,0
2,Kmeans,0.071247,0
2,Kmeans,0.03886,0
2,Kmeans,0.228073,0
2,Kmeans,0.289774,1
2,Kmeans,0.158795,1
2,Kmeans,0.139435,0
2,Kmeans,0.213814,0
2,Kmeans,0.14177,1
2,Kmeans,0.371345,1
2,Kmeans,0.01327,0
2,Kmeans,0.241218,0
2,Kmeans,0.122305,0
2,Kmeans,0.303171,1
2,Kmeans,0.201582,0
2,Kmeans,0.218438,0
2,Kmeans,0.298413,1
2,Kmeans,0.175944,1
2,Kmeans,0.120922,1
2,Kmeans,0.377213,1
2,Kmeans,0.166844,0
2,Kmeans,0.135473,0
2,Kmeans,-0.039008,0
2,Kmeans,0.238958,0
2,Kmeans,-0.032134,0
2,Kmeans,0.206215,0
2,Kmeans,0.113644,1
2,Kmeans,0.260417,1
2,Kmeans,-0.050722,0
2,Kmeans,0.130219,0
2,Kmeans,0.354335,1
2,Kmeans,0.360176,1
2,Kmeans,-0.024994,0
2,Kmeans,0.316329,1
2,Kmeans,0.094451,0
2,Kmeans,0.35257,1
2,Kmeans,0.127434,0
2,Kmeans,0.280205,1
2,Kmeans,0.296792,1
2,Kmeans,0.138905,0
2,Kmeans,0.349895,1
2,Kmeans,-0.054379,0
2,Kmeans,0.025405,0
2,Kmeans,0.396061,1
2,Kmeans,0.309475,1
2,Kmeans,0.105567,0
2,Kmeans,0.309786,1
2,Kmeans,-0.024847,0
2,Kmeans,-0.016038,0
2,Kmeans,0.20377,0
2,Kmeans,0.075215,0
2,Kmeans,0.106623,1
2,Kmeans,0.278247,1
2,Kmeans,0.05684,0
2,Kmeans,0.343468,1
2,Kmeans,0.315424,1
2,Kmeans,0.154616,1
2,Kmeans,-0.018176,0
2,Kmeans,0.190757,0
2,Kmeans,0.094543,0
2,Kmeans,0.030096,1
2,Kmeans,0.131119,1
2,Kmeans,0.271702,1
2,Kmeans,0.339357,1
2,Kmeans,0.368547,1
2,Kmeans,0.17659,1
2,Kmeans,-0.014676,0
2,Kmeans,0.263132,1
2,Kmeans,0.187763,0
2,Kmeans,0.283381,1
2,Kmeans,0.215073,0
2,Kmeans,-0.011874,0
2,Kmeans,-0.036367,0
2,Kmeans,0.173775,0
2,Kmeans,0.302851,1
2,Kmeans,-0.011643,0
2,Kmeans,0.360441,1
2,Kmeans,0.231024,1
2,Kmeans,0.293145,1
2,Kmeans,0.116396,1
2,Kmeans,0.380076,1
2,Kmeans,0.150828,0
2,Kmeans,0.331162,1
2,Kmeans,0.263527,1
2,Kmeans,0.187781,0
2,Kmeans,0.306517,1
2,Kmeans,0.30995,1
2,Kmeans,0.168338,0
2,Kmeans,-0.029889,0
2,Kmeans,0.3873,1
2,Kmeans,0.111069,1
2,Kmeans,0.267746,0
2,Kmeans,0.399834,1
2,Kmeans,0.112225,1
2,Kmeans,0.20343,1
2,Kmeans,0.27906,0
2,Kmeans,0.126983,1
2,Kmeans,0.178986,1
2,Kmeans,0.090523,0
2,Kmeans,0.331026,1
2,Kmeans,0.37045,1
2,Kmeans,0.371957,1
2,Kmeans,0.140787,0
2,Kmeans,0.373368,1
2,Kmeans,0.326997,1
2,Kmeans,0.259946,1
2,Kmeans,0.164003,0
2,Kmeans,-0.011699,0
2,Kmeans,0.117452,1
2,Kmeans,0.041234,0
2,Kmeans,0.19472,0
2,Kmeans,0.181928,0
2,Kmeans,0.030747,0
2,Kmeans,0.198065,0
2,Kmeans,0.370864,1
2,Kmeans,0.173071,1
2,Kmeans,0.157156,0
2,Kmeans,0.085018,1
2,Kmeans,0.156905,1
2,Kmeans,0.189811,0
2,Kmeans,0.349694,1
2,Kmeans,0.179889,1
2,Kmeans,0.128602,0
2,Kmeans,0.309334,1
2,Kmeans,0.204781,0
2,Kmeans,0.345326,1
2,Kmeans,0.355763,1
2,Kmeans,0.171597,1
2,Kmeans,0.306034,1
2,Kmeans,-0.021934,0
2,Kmeans,0.307638,1
2,Kmeans,0.073611,1
2,Kmeans,-0.04901,0
2,Kmeans,0.297766,1
2,Kmeans,0.159431,0
2,Kmeans,0.179987,1
2,Kmeans,0.131877,1
2,Kmeans,-0.031232,0
2,Kmeans,0.169425,1
2,Kmeans,0.166555,0
2,Kmeans,0.359521,1
2,Kmeans,0.021299,1
2,Kmeans,0.12163,0
2,Kmeans,0.165071,1
2,Kmeans,0.055639,0
2,Kmeans,0.03235,0
2,Kmeans,0.259716,0
2,Kmeans,-0.041738,0
2,Kmeans,-0.033093,0
2,Kmeans,0.306034,0
2,Kmeans,0.110766,0
