k,GMM,Kmeans
2,0.6263634183879476,0.17139831657937657
3,0.2273733581137443,0.12453062966434515
4,0.19981348981752067,0.12866291154603898
5,0.03911294175553293,0.12550605600760475
6,0.029487838818348457,0.14119296282880636
7,-0.0082457893759628,0.13779891139607778
8,-0.043260596053759544,0.1407620144444347
9,-0.03862433342569088,0.14328924163308351
10,-0.014168619136792703,0.15463425726225236
15,0.0025295913362230653,0.16202953170299408
20,-0.015521748138448806,0.18491669247445247
25,0.029479946972866385,0.17223559053859278
30,0.02381680391734348,0.20275241585716966
35,-0.0024508643866651704,0.19254270559531503
40,-0.009104261955840263,0.20281413804214554
