k,GMM,Kmeans
2,0.5224489795918368,0.5316326530612245
3,0.5122448979591837,0.5102040816326531
4,0.5163265306122449,0.5091836734693878
5,0.5204081632653061,0.5142857142857142
6,0.5265306122448979,0.5336734693877551
7,0.5244897959183673,0.536734693877551
8,0.5418367346938775,0.5285714285714286
9,0.5346938775510204,0.536734693877551
10,0.5479591836734694,0.539795918367347
15,0.5438775510204081,0.5591836734693878
20,0.5408163265306123,0.5428571428571428
25,0.5744897959183674,0.5591836734693878
30,0.5693877551020409,0.5704081632653061
35,0.5673469387755102,0.5673469387755102
40,0.5663265306122449,0.5663265306122449
