k,GMM,Kmeans
2,3.219500653278348e-05,-0.0004940727574004724
3,-0.0003037821889942292,-0.000572123591928296
4,-0.0006222318595184452,-0.00024858325828637116
5,-0.0007474481460954092,-0.0007024200637008047
6,0.0014909981973854289,0.0014056856409705614
7,4.480131435637721e-05,-0.0005404467693273724
8,-0.0011731248930991717,0.00012778046399287865
9,-0.0008215215742268918,0.0009263620776173762
10,-0.0006679488764628014,2.2861743175282653e-05
15,-0.0006086137662293002,0.0008554868167132049
20,-0.0002777637870262029,0.0007185452871196547
25,0.0011868702743204832,0.0010146513100706281
30,0.0008227215326644944,-0.00028949176975949633
35,-0.0011277721066472067,-0.0005888893451069534
40,0.0009980700283664632,3.2969320661023236e-05
