k,type,score,label
2,Kmeans,0.139841,1
2,Kmeans,0.135709,0
2,Kmeans,0.045829,0
2,Kmeans,0.046033,0
2,Kmeans,0.002706,1
2,Kmeans,0.037267,1
2,Kmeans,0.095555,0
2,Kmeans,0.054036,0
2,Kmeans,0.126199,0
2,Kmeans,0.030821,0
2,Kmeans,0.139928,1
2,Kmeans,0.171427,1
2,Kmeans,0.074973,0
2,Kmeans,0.049104,0
2,Kmeans,0.096258,1
2,Kmeans,0.047677,1
2,Kmeans,-0.002483,1
2,Kmeans,0.082742,1
2,Kmeans,0.037982,0
2,Kmeans,0.186537,1
2,Kmeans,0.041061,0
2,Kmeans,0.094274,1
2,Kmeans,0.086996,0
2,Kmeans,0.04145,1
2,Kmeans,0.038181,0
2,Kmeans,0.00901,1
2,Kmeans,0.09863,1
2,Kmeans,0.035174,0
2,Kmeans,0.102785,0
2,Kmeans,0.087921,0
2,Kmeans,0.072018,1
2,Kmeans,0.03365,1
2,Kmeans,0.12404,0
2,Kmeans,0.03025,1
2,Kmeans,0.091915,0
2,Kmeans,0.064972,1
2,Kmeans,0.053635,1
2,Kmeans,0.195344,0
2,Kmeans,0.115461,0
2,Kmeans,0.048145,0
2,Kmeans,0.065666,0
2,Kmeans,0.010493,1
2,Kmeans,0.021351,1
2,Kmeans,0.17804,0
2,Kmeans,0.019824,0
2,Kmeans,0.22926,0
2,Kmeans,0.138779,0
2,Kmeans,-0.008909,1
2,Kmeans,0.0307,1
2,Kmeans,0.155867,0
2,Kmeans,-0.01095,1
2,Kmeans,0.095301,0
2,Kmeans,0.151691,0
2,Kmeans,0.105441,0
2,Kmeans,0.15095,1
2,Kmeans,0.034919,0
2,Kmeans,0.044858,0
2,Kmeans,0.04896,1
2,Kmeans,0.111957,0
2,Kmeans,0.070857,0
2,Kmeans,0.076712,0
2,Kmeans,0.055734,0
2,Kmeans,0.070911,1
2,Kmeans,0.192567,0
2,Kmeans,-0.001293,1
2,Kmeans,0.01638,1
2,Kmeans,0.054559,0
2,Kmeans,0.135424,0
2,Kmeans,0.067615,0
2,Kmeans,0.099506,1
2,Kmeans,0.026846,1
2,Kmeans,0.1476,1
2,Kmeans,0.061857,0
2,Kmeans,0.050878,1
2,Kmeans,0.031001,1
2,Kmeans,0.100352,0
2,Kmeans,0.175997,0
2,Kmeans,0.151971,0
2,Kmeans,0.135338,0
2,Kmeans,0.0478,1
2,Kmeans,0.055008,1
2,Kmeans,0.061347,0
2,Kmeans,0.08519,1
2,Kmeans,0.045544,1
2,Kmeans,0.038677,0
2,Kmeans,0.00737,1
2,Kmeans,0.040269,0
2,Kmeans,0.101344,0
2,Kmeans,0.129815,0
2,Kmeans,0.039856,1
2,Kmeans,0.057355,0
2,Kmeans,0.125603,0
2,Kmeans,0.101095,0
2,Kmeans,0.054973,1
2,Kmeans,0.065011,0
2,Kmeans,0.092266,1
2,Kmeans,0.113946,1
2,Kmeans,0.137881,0
2,Kmeans,0.138736,0
2,Kmeans,0.062951,0
2,Kmeans,0.088262,1
2,Kmeans,0.12104,0
2,Kmeans,0.099839,0
2,Kmeans,0.072378,1
2,Kmeans,0.03079,0
2,Kmeans,0.103543,0
2,Kmeans,0.056335,0
2,Kmeans,0.082906,0
2,Kmeans,0.062948,0
2,Kmeans,0.019226,1
2,Kmeans,0.168797,1
2,Kmeans,0.071729,0
2,Kmeans,0.166378,0
2,Kmeans,0.134013,0
2,Kmeans,0.137408,1
2,Kmeans,-0.011235,1
2,Kmeans,0.11367,1
2,Kmeans,0.050204,0
2,Kmeans,0.065871,0
2,Kmeans,0.033872,0
2,Kmeans,0.139766,1
2,Kmeans,0.079293,1
2,Kmeans,0.021028,1
2,Kmeans,0.068363,1
2,Kmeans,0.078728,1
2,Kmeans,0.049201,1
2,Kmeans,0.01112,1
2,Kmeans,-0.008779,1
2,Kmeans,0.091368,1
2,Kmeans,0.009741,1
2,Kmeans,0.03085,0
2,Kmeans,0.138375,1
2,Kmeans,0.021392,0
2,Kmeans,0.057263,1
2,Kmeans,0.029317,1
