k,GMM,Kmeans
2,0.0824165507866754,0.0938457830650168
3,0.06354120998083532,0.07744779258327801
4,0.027977460406606466,0.07267528795898316
5,0.025652100557475573,0.07115973678321494
6,0.02323888230865328,0.06809215885417032
7,0.010789708187958985,0.07046153905657337
8,-0.01308580295555277,0.06634609928466283
9,-0.011474927881248246,0.07012486042495782
10,0.00016878039980730485,0.06795690265556341
15,0.0019509099458367926,0.06266785663469139
20,0.003587008381899325,0.06487420402662106
25,0.009182061291930782,0.0657427947114588
30,0.01872579540738966,0.0686955844948185
35,0.039752700719462776,0.06820009731377498
40,0.044082138800299486,0.06734090085094789
